parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	final_groups
244	L	-6.09	-102.59	6.15	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	477
245	L	-4.66	-103.12	-10.05	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	191
246	L	-3.2	-91.68	2.41	Occipital	lingual	First-Visual-V1+	7Networks_1	17Networks_1	192
247	L	-6.31	-94.48	-16.38	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	193
248	L	-14.13	-102.86	0.16	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	194
249	L	-34.89	-73.33	-4.62	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_5	478
250	L	-25.72	-91.86	-3.45	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	195
251	L	-25.49	-100.05	-4.42	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	196
252	L	-16.23	-100.96	-13.14	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	197
253	L	-15.05	-91.78	-9.95	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	198
254	L	-33.95	-83.87	-13.97	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	479
